ad_id,x_value,y_value
h1,5.316653585426574,-27.40841499824279
h1,3.311867415600404,-14.880793828130727
h1,2.391413222917003,-9.418689366759864
h1,1.884506234802665,-6.648525434666739
h1,1.5535831293819393,-4.916110012649273
h1,1.3198120580590138,-3.718093402120701
h1,6.9387653707771015,-38.223948193400716
h1,4.3695373900047,-21.48950611806392
h1,3.1493193630800103,-14.354610757488947
h1,2.473186335102121,-10.339215499958083
h1,2.056004097535962,-8.132476777157384
h1,1.7424233961684925,-6.474474289571492
h1,4.458260419645137,-21.19083944868245
h1,2.755562982558223,-11.314753351583644
h1,1.9881803439353511,-7.003394985718994
h1,1.5690790230482705,-4.842245777520058
h1,1.2896832026074136,-3.4352303251829386
h1,1.1123700460216959,-2.5309462766093898
h1,6.943482670829488,-36.964020026773014
h1,4.346854972762113,-20.926499066112523
h1,3.123842100872319,-13.734169853343538
h1,2.431474614485559,-9.873992780270823
h1,2.0680357132208522,-7.651095328328871
h1,1.7347788593228077,-6.1187344748034125
h1,3.8676520655572477,-18.529443518274178
h1,2.5374893538676186,-10.124708381173814
h1,1.8273417593207786,-6.786011187866362
h1,1.4027041296544824,-4.9979003407712685
h1,1.1532191352854613,-4.054585940896303
h1,1.0061238625940438,-3.460882522403229
h2,5.325211255301898,-30.210109627419605
h2,3.3712154236993523,-12.757994418672105
h2,2.4533216950160814,-6.162411972928648
h2,1.8871224195800866,-3.3209701073146998
h2,1.560345010621795,-1.858472152937499
h2,1.326249801764919,-0.9252113566432919
h2,7.073782341688166,-42.62027406523771
h2,4.409713179617111,-20.391348748812042
h2,3.1612551889753293,-11.15972858938868
h2,2.496026571948582,-6.690408390176421
h2,2.0602883049785343,-4.235961592156326
h2,1.7635066413175504,-2.656632766682952
h2,4.417194904723244,-21.58755751101325
h2,2.782244085627069,-8.654573501645352
h2,2.002839760810352,-3.893049444603495
h2,1.574363475920474,-1.9637265716328294
h2,1.3018221115985433,-0.8658017093923907
h2,1.102016539189528,-0.2922895550329857
h2,7.003559387910172,-37.645805124310286
h2,4.3243009233794165,-19.46502200541744
h2,3.1197170298746544,-10.74104606223084
h2,2.463233099624692,-6.4525391149273945
h2,2.0401728133248516,-3.846224639150792
h2,1.7279973813248601,-2.3814132657945772
h2,4.024103064165667,-17.717101953210435
h2,2.4133403460580847,-6.594622195496902
h2,1.7888176092063222,-2.6673703799848774
h2,1.3520100096188894,-1.2010565569067215
h2,1.1891532726410645,-0.4995414746816157
h2,1.0150297268923756,-0.1332955029046895
h3,5.325211255301898,144.09756783014376
h3,3.3712154236993523,50.50241424042085
h3,2.4533216950160814,23.990521863947613
h3,1.8871224195800866,13.436060434665716
h3,1.560345010621795,8.638295127647428
h3,1.326249801764919,5.945145930366996
h3,7.073782341688166,263.50248243975767
h3,4.409713179617111,94.32119522757961
h3,3.1612551889753293,45.278450443549666
h3,2.496026571948582,25.851086143319563
h3,2.0602883049785343,16.699814977414746
h3,1.7635066413175504,11.510418167867831
h3,4.417194904723244,97.38142880164786
h3,2.782244085627069,33.456171222839274
h3,2.002839760810352,15.853387363813116
h3,1.574363475920474,8.982773039636156
h3,1.3018221115985433,5.745212450163542
h3,1.102016539189528,3.9434383598042495
h3,7.003559387910172,252.70169527441433
h3,4.3243009233794165,91.76218383561151
h3,3.1197170298746544,44.00074310258822
h3,2.463233099624692,25.467334378068884
h3,2.0401728133248516,16.510295755489896
h3,1.7279973813248601,11.340602478752224
h3,4.024103064165667,76.9662957959838
h3,2.4133403460580847,26.302400966181207
h3,1.7888176092063222,12.26092799230011
h3,1.3520100096188894,7.0853133917822415
h3,1.1891532726410645,4.571185708736062
h3,1.0150297268923756,3.1350983513892947
h4,5.316653585426574,-7.613301238623903
h4,3.311867415600404,-5.99040547463102
h4,2.391413222917003,-4.390716784296756
h4,1.884506234802665,-3.576446166603758
h4,1.5535831293819393,-2.9577770755569035
h4,1.3198120580590138,-2.5008696634165695
h4,6.9387653707771015,-7.724489876911872
h4,4.3695373900047,-6.546851024910259
h4,3.1493193630800103,-5.2455808213399795
h4,2.473186335102121,-4.333512214967767
h4,2.056004097535962,-3.7512265179449042
h4,1.7424233961684925,-3.1033330934821506
h4,4.458260419645137,-6.854996677004346
h4,2.755562982558223,-5.059788956249174
h4,1.9881803439353511,-3.7609597189083077
h4,1.5690790230482705,-3.0440793397926944
h4,1.2896832026074136,-2.576213691885117
h4,1.1123700460216959,-2.20692832861159
h4,6.943482670829488,-8.632053368910624
h4,4.346854972762113,-6.756927887541201
h4,3.123842100872319,-5.325265627042244
h4,2.431474614485559,-4.4000210829475
h4,2.0680357132208522,-3.637766191691358
h4,1.7347788593228077,-3.0565838037147337
h4,3.8676520655572477,-5.879726571691703
h4,2.5374893538676186,-4.157045193994949
h4,1.8273417593207786,-3.198582236432303
h4,1.4027041296544824,-2.4847429029560093
h4,1.1532191352854613,-2.0675707802949383
h4,1.0061238625940438,-1.7795571732567503
a1,5.316653585426574,-5.485944547418333
a1,3.311867415600404,-3.217069340628241
a1,2.391413222917003,-2.189997285014111
a1,1.884506234802665,-1.6768315419680715
a1,1.5535831293819393,-1.3548490418494654
a1,1.3198120580590138,-1.1405052641145936
a1,6.9387653707771015,-7.450408148238305
a1,4.3695373900047,-4.397420409399123
a1,3.1493193630800103,-3.0246896745429
a1,2.473186335102121,-2.29677854618759
a1,2.056004097535962,-1.8447853475715963
a1,1.7424233961684925,-1.5505704470512578
a1,4.458260419645137,-4.425980673278768
a1,2.755562982558223,-2.5859031854434034
a1,1.9881803439353511,-1.7844720647165047
a1,1.5690790230482705,-1.3679232477069112
a1,1.2896832026074136,-1.1190085267057164
a1,1.1123700460216959,-0.9414751047536589
a1,6.943482670829488,-7.203484802620248
a1,4.346854972762113,-4.27081174987558
a1,3.123842100872319,-2.958476685961137
a1,2.431474614485559,-2.2454729632647608
a1,2.0680357132208522,-1.8172218796840447
a1,1.7347788593228077,-1.5190039064404997
a1,3.8676520655572477,-3.940258958158166
a1,2.5374893538676186,-2.294247354272966
a1,1.8273417593207786,-1.5894747831336211
a1,1.4027041296544824,-1.21759173818534
a1,1.1532191352854613,-0.9938738374995197
a1,1.0061238625940438,-0.8327627344401938
a2,5.325211255301898,-4.1996290239752465
a2,3.3712154236993523,-1.8522566336742634
a2,2.4533216950160814,-0.9399653153440874
a2,1.8871224195800866,-0.567332758628752
a2,1.560345010621795,-0.378327984806655
a2,1.326249801764919,-0.277951087702215
a2,7.073782341688166,-6.102171375067821
a2,4.409713179617111,-2.909694634000072
a2,3.1612551889753293,-1.6364610060490432
a2,2.496026571948582,-0.9571335661109878
a2,2.0602883049785343,-0.6382596409000617
a2,1.7635066413175504,-0.44806289664051124
a2,4.417194904723244,-2.834026996087264
a2,2.782244085627069,-1.18263880808113
a2,2.002839760810352,-0.6023758778328427
a2,1.574363475920474,-0.36249806141111696
a2,1.3018221115985433,-0.25128621267223805
a2,1.102016539189528,-0.1858203584477962
a2,7.003559387910172,-5.399407983336946
a2,4.3243009233794165,-2.6731963699469445
a2,3.1197170298746544,-1.4626267570927256
a2,2.463233099624692,-0.8904278269948499
a2,2.0401728133248516,-0.5816371683497294
a2,1.7279973813248601,-0.3895213010994787
a2,4.024103064165667,-2.3911532387454004
a2,2.4133403460580847,-0.9618784510526841
a2,1.7888176092063222,-0.47733468253244893
a2,1.3520100096188894,-0.28946858022281496
a2,1.1891532726410645,-0.20192164469942775
a2,1.0150297268923756,-0.1565309903886313
a3,5.325211255301898,28.954400858972186
a3,3.3712154236993523,10.642604011952796
a3,2.4533216950160814,5.305551322659742
a3,1.8871224195800866,3.1782886649898754
a3,1.560345010621795,2.1293013532809693
a3,1.326249801764919,1.5131184671370033
a3,7.073782341688166,52.04168823615601
a3,4.409713179617111,19.3338924976596
a3,3.1612551889753293,9.632328944706419
a3,2.496026571948582,5.7438844017438875
a3,2.0602883049785343,3.820077913661353
a3,1.7635066413175504,2.721461305375966
a3,4.417194904723244,19.79109839106868
a3,2.782244085627069,7.257279329856949
a3,2.002839760810352,3.6399641234302353
a3,1.574363475920474,2.1837881874363188
a3,1.3018221115985433,1.4765406169212896
a3,1.102016539189528,1.0581543950911625
a3,7.003559387910172,50.18362016372093
a3,4.3243009233794165,18.73375370032597
a3,3.1197170298746544,9.335256523388805
a3,2.463233099624692,5.592006265744645
a3,2.0401728133248516,3.7434478158556566
a3,1.7279973813248601,2.6545799250834836
a3,4.024103064165667,15.816693441934842
a3,2.4133403460580847,5.793886986452952
a3,1.7888176092063222,2.8981845822306473
a3,1.3520100096188894,1.7561566514494231
a3,1.1891532726410645,1.1870457040321025
a3,1.0150297268923756,0.8469016571389241
a4,5.316653585426574,-0.67050025678356
a4,3.311867415600404,-0.447785504520795
a4,2.391413222917003,-0.2650593011013542
a4,1.884506234802665,-0.1696388729918875
a4,1.5535831293819393,-0.100663778168266
a4,1.3198120580590138,-0.047321094709872384
a4,6.9387653707771015,-0.7676922311579798
a4,4.3695373900047,-0.547745824989609
a4,3.1493193630800103,-0.3737727399993934
a4,2.473186335102121,-0.24392363173124376
a4,2.056004097535962,-0.1936533208312347
a4,1.7424233961684925,-0.11667360239043326
a4,4.458260419645137,-0.5742913522871939
a4,2.755562982558223,-0.3359462247288826
a4,1.9881803439353511,-0.18272073573159053
a4,1.5690790230482705,-0.10100848109787003
a4,1.2896832026074136,-0.04187099635167063
a4,1.1123700460216959,-0.003290018230906509
a4,6.943482670829488,-0.7421240726132952
a4,4.346854972762113,-0.5139393856231289
a4,3.123842100872319,-0.35334284186493925
a4,2.431474614485559,-0.237688669295187
a4,2.0680357132208522,-0.1572535894059326
a4,1.7347788593228077,-0.11000051521752824
a4,3.8676520655572477,-0.5277592542344212
a4,2.5374893538676186,-0.2889478409993543
a4,1.8273417593207786,-0.15944787307276131
a4,1.4027041296544824,-0.07658835528193425
a4,1.1532191352854613,-0.031555604039581554
a4,1.0061238625940438,0.000245376563858759
